overall_rating,pros_sentiment,cons_sentiment,pros_sentiment_score,cons_sentiment_score,overall_sentiment
5,Positive,Negative,0.8622,-0.296,Positive
4,Positive,Neutral,0.8402,0.0,Positive
4,Positive,Positive,0.5994,0.3612,Positive
2,Positive,Negative,0.8271,-0.4767,Positive
3,Negative,Negative,-0.1027,-0.296,Negative
5,Positive,Positive,0.6705,0.0788,Positive
4,Positive,Neutral,0.9022,0.0,Positive
5,Positive,Neutral,0.4404,0.0,Positive
4,Neutral,Neutral,0.0,0.0,Positive
3,Positive,Negative,0.4939,-0.3612,Positive
3,Positive,Negative,0.9754,-0.4946,Positive
4,Positive,Positive,0.7184,0.2023,Positive
5,Positive,Neutral,0.8834,0.0,Positive
3,Positive,Negative,0.5574,-0.6597,Negative
4,Positive,Neutral,0.4767,0.0,Positive
4,Positive,Positive,0.8858,0.802,Positive
2,Positive,Negative,0.7841,-0.795,Negative
4,Positive,Negative,0.7841,-0.5216,Positive
4,Positive,Positive,0.7964,0.3818,Positive
1,Neutral,Negative,0.0,-0.765,Negative
3,Positive,Negative,0.8126,-0.549,Positive
4,Positive,Positive,0.9876,0.9699,Positive
3,Positive,Negative,0.7783,-0.25,Positive
5,Positive,Neutral,0.5222,0.0,Positive
3,Positive,Negative,0.7964,-0.765,Positive
3,Positive,Negative,0.5267,-0.2263,Positive
5,Positive,Neutral,0.4404,0.0,Positive
4,Positive,Negative,0.7906,-0.5583,Positive
5,Positive,Neutral,0.9686,0.0,Positive
4,Positive,Negative,0.765,-0.3818,Positive
2,Positive,Positive,0.5267,0.079,Positive
1,Positive,Positive,0.9201,0.3182,Positive
1,Positive,Positive,0.3182,0.7953,Positive
5,Positive,Neutral,0.4404,0.0,Positive
2,Positive,Negative,0.8038,-0.8183,Negative
5,Positive,Neutral,0.7003,0.0,Positive
2,Positive,Negative,0.7717,-0.5423,Positive
3,Positive,Neutral,0.8402,0.0,Positive
2,Positive,Negative,0.7269,-0.7269,Positive
5,Positive,Neutral,0.9761,0.0,Positive
4,Positive,Negative,0.6249,-0.3182,Positive
4,Positive,Neutral,0.6808,0.0,Positive
5,Positive,Positive,0.6249,0.2323,Positive
5,Positive,Negative,0.4939,-0.296,Positive
3,Positive,Positive,0.7506,0.2894,Positive
3,Positive,Negative,0.91,-0.5859,Positive
3,Positive,Neutral,0.765,0.0,Positive
4,Positive,Negative,0.9081,-0.34,Positive
3,Positive,Positive,0.8979,0.8878,Positive
5,Neutral,Neutral,0.0,0.0,Neutral
5,Positive,Negative,0.4404,-0.296,Positive
5,Neutral,Negative,0.0,-0.5096,Positive
5,Positive,Neutral,0.4019,0.0,Positive
3,Positive,Neutral,0.5106,0.0,Positive
2,Positive,Negative,0.6249,-0.9328,Negative
3,Positive,Neutral,0.8807,0.0,Positive
4,Positive,Neutral,0.6258,0.0,Positive
5,Positive,Neutral,0.9818,0.0,Positive
4,Neutral,Negative,0.0,-0.5216,Negative
3,Neutral,Negative,0.0,-0.0772,Negative
3,Positive,Positive,0.6486,0.3197,Positive
4,Positive,Positive,0.2023,0.3612,Positive
3,Positive,Positive,0.3384,0.0772,Negative
3,Positive,Negative,0.4404,-0.4767,Negative
4,Positive,Neutral,0.7845,0.0,Positive
4,Positive,Neutral,0.8555,0.0,Positive
4,Positive,Negative,0.7783,-0.2755,Positive
5,Positive,Negative,0.7783,-0.25,Positive
1,Negative,Negative,-0.5018,-0.9305,Negative
5,Neutral,Neutral,0.0,0.0,Neutral
2,Positive,Negative,0.9336,-0.7915,Positive
3,Positive,Negative,0.3818,-0.1779,Positive
2,Positive,Neutral,0.3182,0.0,Positive
3,Positive,Negative,0.5106,-0.5423,Negative
5,Positive,Neutral,0.4404,0.0,Positive
5,Positive,Positive,0.9313,0.9578,Positive
5,Positive,Neutral,0.9001,0.0,Positive
4,Positive,Negative,0.8932,-0.0644,Positive
3,Positive,Neutral,0.6705,0.0,Positive
4,Neutral,Neutral,0.0,0.0,Neutral
4,Positive,Neutral,0.6908,0.0,Positive
3,Positive,Negative,0.743,-0.3412,Positive
5,Positive,Negative,0.8481,-0.5996,Positive
5,Positive,Positive,0.4404,0.1027,Positive
5,Positive,Neutral,0.4404,0.0,Positive
4,Positive,Positive,0.9393,0.5023,Positive
1,Positive,Neutral,0.5739,-0.0,Positive
4,Positive,Negative,0.891,-0.3989,Positive
4,Positive,Positive,0.6997,0.0772,Positive
3,Neutral,Negative,0.0,-0.5423,Negative
2,Negative,Positive,-0.296,0.0762,Positive
4,Positive,Negative,0.891,-0.1027,Positive
4,Positive,Positive,0.8832,0.5434,Positive
4,Positive,Negative,0.8955,-0.2944,Positive
1,Positive,Positive,0.5859,0.2263,Negative
4,Positive,Negative,0.3818,-0.3612,Positive
5,Positive,Negative,0.9117,-0.1531,Positive
4,Positive,Negative,0.8074,-0.3612,Positive
5,Positive,Negative,0.4404,-0.296,Positive
5,Positive,Positive,0.7717,0.2023,Positive
3,Positive,Positive,0.4019,0.3874,Positive
5,Positive,Negative,0.7264,-0.5423,Positive
5,Positive,Positive,0.9805,0.1901,Positive
3,Positive,Negative,0.4404,-0.743,Negative
5,Positive,Neutral,0.6249,0.0,Positive
4,Positive,Positive,0.6705,0.5106,Positive
4,Positive,Neutral,0.4404,0.0,Positive
4,Positive,Positive,0.5719,0.8126,Positive
2,Positive,Neutral,0.7574,0.0,Positive
1,Neutral,Negative,0.0,-0.9615,Negative
4,Positive,Negative,0.7717,-0.3182,Positive
5,Positive,Neutral,0.6369,0.0,Positive
4,Neutral,Negative,0.0,-0.3612,Positive
3,Positive,Neutral,0.6249,0.0,Positive
3,Positive,Neutral,0.7351,0.0,Positive
4,Positive,Negative,0.762,-0.3182,Positive
4,Positive,Negative,0.8176,-0.2924,Positive
5,Negative,Negative,-0.296,-0.296,Negative
5,Positive,Neutral,0.891,0.0,Positive
3,Positive,Negative,0.7579,-0.2732,Positive
4,Positive,Positive,0.836,0.1779,Positive
4,Positive,Positive,0.7964,0.3818,Positive
5,Positive,Negative,0.9531,-0.296,Positive
3,Positive,Neutral,0.128,0.0,Positive
5,Positive,Negative,0.3818,-0.296,Positive
5,Positive,Positive,0.9886,0.3597,Positive
4,Positive,Neutral,0.875,0.0,Positive
4,Positive,Positive,0.872,0.2484,Positive
1,Positive,Negative,0.6249,-0.5106,Positive
4,Positive,Negative,0.891,-0.2732,Positive
1,Neutral,Negative,0.0,-0.8734,Negative
1,Negative,Negative,-0.3412,-0.7067,Negative
4,Positive,Neutral,0.4588,0.0,Positive
3,Positive,Positive,0.4019,0.1531,Positive
5,Positive,Positive,0.4404,0.25,Positive
1,Neutral,Negative,0.0,-0.3662,Negative
5,Negative,Negative,-0.1027,-0.1027,Negative
3,Positive,Neutral,0.7717,0.0,Positive
4,Positive,Neutral,0.8074,0.0,Positive
5,Positive,Negative,0.7184,-0.145,Positive
5,Neutral,Neutral,0.0,0.0,Positive
4,Positive,Negative,0.9819,-0.7823,Positive
4,Positive,Positive,0.9042,0.3387,Positive
5,Positive,Positive,0.765,0.4585,Positive
4,Positive,Negative,0.6249,-0.296,Positive
4,Positive,Neutral,0.9193,0.0,Positive
4,Positive,Positive,0.3818,0.3818,Positive
5,Positive,Positive,0.8834,0.5574,Positive
5,Positive,Neutral,0.6249,0.0,Positive
3,Positive,Negative,0.7906,-0.4767,Positive
2,Neutral,Negative,0.0,-0.3653,Negative
5,Positive,Neutral,0.9423,0.0,Positive
3,Positive,Negative,0.4404,-0.3182,Negative
3,Positive,Negative,0.9583,-0.7343,Positive
4,Positive,Negative,0.9313,-0.8442,Positive
3,Positive,Negative,0.9688,-0.6597,Positive
3,Positive,Negative,0.765,-0.25,Positive
5,Positive,Positive,0.9036,0.5859,Positive
4,Positive,Negative,0.8779,-0.6072,Positive
3,Negative,Neutral,-0.128,0.0,Negative
5,Positive,Negative,0.3818,-0.1531,Positive
1,Positive,Positive,0.6249,0.5574,Positive
4,Positive,Neutral,0.5719,0.0,Positive
3,Positive,Positive,0.4939,0.25,Positive
2,Positive,Negative,0.7003,-0.6276,Positive
2,Positive,Negative,0.34,-0.7894,Negative
5,Positive,Neutral,0.3818,0.0,Positive
5,Positive,Positive,0.6794,0.2755,Positive
3,Positive,Neutral,0.5574,0.0,Positive
4,Positive,Positive,0.975,0.4404,Positive
1,Positive,Positive,0.8834,0.9946,Positive
3,Positive,Neutral,0.7096,0.0,Positive
5,Positive,Neutral,0.6486,0.0,Positive
3,Positive,Negative,0.9008,-0.0516,Positive
3,Positive,Neutral,0.6369,0.0,Positive
4,Positive,Positive,0.6705,0.1027,Positive
4,Positive,Positive,0.7845,0.3612,Positive
4,Positive,Neutral,0.3818,0.0,Positive
5,Positive,Positive,0.9117,0.9223,Positive
5,Positive,Negative,0.8481,-0.2944,Positive
4,Positive,Negative,0.8271,-0.2991,Positive
5,Positive,Positive,0.9423,0.4585,Positive
5,Positive,Neutral,0.9413,0.0,Positive
1,Neutral,Negative,0.0,-0.5358,Negative
5,Positive,Positive,0.6908,0.1531,Positive
5,Positive,Negative,0.4939,-0.7351,Neutral
4,Positive,Negative,0.7693,-0.296,Positive
4,Positive,Positive,0.9118,0.25,Positive
5,Positive,Negative,0.4404,-0.3412,Positive
3,Positive,Negative,0.6908,-0.128,Positive
5,Neutral,Negative,0.0258,-0.3159,Negative
5,Positive,Negative,0.9467,-0.7096,Positive
4,Positive,Positive,0.9413,0.2263,Positive
4,Positive,Neutral,0.1531,0.0,Positive
2,Negative,Negative,-0.4404,-0.6798,Negative
4,Neutral,Positive,0.0,0.6258,Positive
3,Positive,Positive,0.5859,0.4788,Positive
1,Negative,Negative,-0.0516,-0.8481,Negative
5,Positive,Neutral,0.2023,0.0,Positive
3,Positive,Neutral,0.6369,0.0,Positive
1,Positive,Positive,0.7003,0.8793,Positive
1,Positive,Negative,0.6705,-0.5563,Negative
5,Positive,Neutral,0.8271,0.0,Positive
4,Positive,Neutral,0.7269,0.0,Positive
1,Positive,Negative,0.0772,-0.2755,Negative
5,Positive,Positive,0.765,0.1531,Positive
4,Positive,Positive,0.9462,0.6124,Positive
4,Positive,Neutral,0.7003,0.0,Positive
4,Positive,Positive,0.9682,0.4574,Positive
3,Positive,Positive,0.6917,0.4939,Positive
5,Neutral,Neutral,0.0,0.0,Neutral
2,Positive,Negative,0.8591,-0.4215,Positive
4,Neutral,Neutral,0.0,0.0,Neutral
1,Negative,Neutral,-0.296,0.0,Negative
3,Positive,Neutral,0.8915,0.0,Positive
4,Positive,Neutral,0.6249,0.0,Positive
4,Positive,Neutral,0.7845,0.0,Positive
4,Positive,Negative,0.8555,-0.3182,Positive
3,Positive,Negative,0.5719,-0.5904,Negative
5,Positive,Neutral,0.9633,0.0352,Positive
4,Positive,Negative,0.6249,-0.128,Positive
5,Positive,Positive,0.5106,0.4404,Positive
4,Positive,Positive,0.8402,0.2732,Positive
1,Positive,Neutral,0.796,0.0,Positive
4,Positive,Positive,0.9575,0.3715,Positive
5,Positive,Neutral,0.765,0.0,Positive
5,Positive,Negative,0.9222,-0.128,Positive
5,Positive,Positive,0.872,0.4588,Positive
3,Positive,Negative,0.8271,-0.1027,Positive
5,Positive,Neutral,0.4588,0.0,Positive
4,Positive,Negative,0.936,-0.4082,Positive
2,Neutral,Negative,0.0,-0.6467,Negative
4,Neutral,Positive,0.0,0.6428,Positive
4,Positive,Negative,0.891,-0.0516,Positive
4,Neutral,Neutral,0.0,0.0,Neutral
1,Positive,Negative,0.5106,-0.743,Negative
5,Positive,Positive,0.6249,0.2411,Positive
4,Positive,Negative,0.836,-0.3818,Positive
3,Positive,Positive,0.9599,0.2484,Positive
5,Positive,Neutral,0.7579,0.0,Positive
1,Neutral,Neutral,0.0,0.0,Negative
3,Positive,Neutral,0.6326,0.0258,Positive
5,Positive,Neutral,0.5267,0.0,Positive
1,Positive,Neutral,0.3553,0.0,Positive
3,Positive,Negative,0.6588,-0.653,Positive
5,Positive,Positive,0.8555,0.296,Positive
3,Positive,Positive,0.4404,0.4939,Positive
3,Positive,Neutral,0.2263,0.0,Positive
5,Neutral,Neutral,0.0,0.0,Positive
4,Positive,Positive,0.9393,0.1027,Positive
3,Positive,Negative,0.8672,-0.8358,Negative
4,Positive,Negative,0.8481,-0.3182,Positive
5,Positive,Positive,0.9565,0.2732,Positive
3,Positive,Negative,0.7269,-0.765,Negative
1,Negative,Positive,-0.1027,0.7506,Positive
4,Positive,Negative,0.7964,-0.1027,Positive
4,Positive,Negative,0.8519,-0.6249,Positive
1,Negative,Negative,-0.5583,-0.7906,Negative
5,Positive,Neutral,0.6705,0.0,Positive
1,Neutral,Positive,0.0,0.5972,Positive
5,Positive,Negative,0.8176,-0.7184,Positive
4,Positive,Positive,0.979,0.8074,Positive
5,Positive,Neutral,0.6597,0.0,Positive
3,Positive,Neutral,0.4588,0.0,Positive
3,Positive,Positive,0.7841,0.6204,Positive
3,Positive,Negative,0.9062,-0.5563,Positive
3,Positive,Negative,0.7783,-0.6124,Positive
5,Neutral,Positive,0.0,0.765,Positive
1,Neutral,Negative,0.0,-0.5399,Negative
5,Positive,Neutral,0.6369,0.0,Positive
4,Positive,Negative,0.872,-0.0813,Positive
4,Positive,Neutral,0.9595,0.0,Positive
4,Positive,Negative,0.7717,-0.25,Positive
2,Positive,Negative,0.6249,-0.715,Negative
3,Negative,Neutral,-0.1027,0.0,Positive
4,Positive,Neutral,0.8402,0.0,Positive
4,Positive,Negative,0.7269,-0.6249,Positive
5,Positive,Negative,0.6369,-0.3182,Positive
5,Positive,Neutral,0.6705,0.0,Positive
3,Positive,Negative,0.8807,-0.6653,Positive
4,Positive,Positive,0.9509,0.5208,Positive
4,Positive,Positive,0.5559,0.1531,Positive
3,Negative,Neutral,-0.2023,0.0,Negative
3,Positive,Negative,0.5562,-0.5426,Positive
4,Positive,Neutral,0.5859,0.0,Positive
4,Positive,Negative,0.3182,-0.1761,Positive
4,Positive,Neutral,0.836,0.0,Positive
4,Positive,Positive,0.7717,0.5408,Positive
3,Positive,Negative,0.7269,-0.4939,Positive
4,Positive,Negative,0.7901,-0.2247,Positive
2,Positive,Positive,0.8271,0.8115,Positive
4,Positive,Negative,0.886,-0.4939,Positive
4,Positive,Neutral,0.6249,0.0,Positive
4,Positive,Negative,0.6124,-0.8271,Negative
5,Positive,Neutral,0.7841,0.0,Positive
5,Positive,Negative,0.9286,-0.4958,Positive
4,Positive,Positive,0.8555,0.5106,Positive
2,Neutral,Negative,0.0,-0.2469,Negative
5,Positive,Negative,0.6249,-0.296,Positive
4,Positive,Negative,0.4404,-0.5242,Positive
3,Positive,Positive,0.9182,0.2484,Positive
5,Positive,Neutral,0.4404,0.0,Positive
4,Positive,Neutral,0.7964,0.0,Positive
3,Positive,Neutral,0.4939,0.0,Positive
3,Positive,Positive,0.8932,0.2698,Positive
5,Positive,Negative,0.9468,-0.8206,Positive
3,Positive,Neutral,0.3182,0.0,Positive
2,Neutral,Negative,0.0,-0.8623,Negative
2,Positive,Negative,0.9451,-0.7517,Positive
2,Neutral,Neutral,0.0,0.0,Negative
5,Positive,Positive,0.7906,0.5256,Positive
5,Positive,Negative,0.9851,-0.4868,Positive
4,Positive,Negative,0.3818,-0.2088,Positive
5,Positive,Neutral,0.9313,0.0,Positive
3,Positive,Positive,0.6124,0.1779,Positive
5,Positive,Negative,0.891,-0.296,Positive
5,Positive,Positive,0.2732,0.3182,Positive
5,Positive,Negative,0.8834,-0.3415,Positive
5,Positive,Neutral,0.5267,0.0,Positive
4,Negative,Positive,-0.5994,0.6369,Positive
2,Positive,Positive,0.8834,0.9912,Positive
4,Positive,Neutral,0.9201,0.0,Positive
4,Positive,Neutral,0.6369,0.0,Positive
4,Positive,Neutral,0.6586,0.0,Positive
4,Positive,Neutral,0.6908,0.0,Positive
4,Positive,Negative,0.8431,-0.7616,Negative
3,Positive,Negative,0.6124,-0.3182,Positive
5,Positive,Neutral,0.5106,0.0,Positive
4,Positive,Neutral,0.7351,0.0,Positive
2,Positive,Negative,0.9201,-0.0516,Positive
1,Positive,Negative,0.8126,-0.7769,Positive
3,Positive,Negative,0.7351,-0.5556,Positive
4,Positive,Negative,0.4767,-0.3412,Positive
1,Positive,Neutral,0.6705,-0.0031,Positive
5,Positive,Neutral,0.6222,0.0,Positive
3,Positive,Positive,0.836,0.296,Positive
3,Positive,Neutral,0.6908,0.0,Positive
4,Positive,Positive,0.9531,0.4094,Positive
1,Neutral,Positive,0.0,0.09,Positive
3,Positive,Negative,0.6808,-0.2924,Positive
4,Positive,Negative,0.8126,-0.6229,Positive
5,Positive,Negative,0.4404,-0.4939,Negative
1,Positive,Negative,0.5994,-0.8296,Negative
4,Positive,Positive,0.9762,0.4215,Positive
4,Positive,Negative,0.7003,-0.2263,Positive
2,Positive,Negative,0.8658,-0.5594,Positive
4,Negative,Positive,-0.296,0.6369,Positive
4,Neutral,Positive,0.0,0.1027,Positive
2,Positive,Negative,0.4742,-0.7003,Negative
3,Positive,Neutral,0.7906,0.0,Positive
4,Positive,Positive,0.9231,0.4215,Positive
2,Positive,Negative,0.836,-0.2028,Positive
3,Positive,Negative,0.7906,-0.8565,Positive
2,Positive,Negative,0.8957,-0.9113,Positive
4,Positive,Negative,0.7964,-0.4201,Positive
4,Positive,Negative,0.6369,-0.4588,Positive
4,Positive,Positive,0.4215,0.323,Positive
5,Positive,Negative,0.4019,-0.5106,Neutral
4,Positive,Negative,0.8927,-0.4404,Positive
3,Negative,Negative,-0.4767,-0.5095,Negative
2,Positive,Negative,0.926,-0.5267,Positive
3,Positive,Negative,0.8225,-0.2315,Positive
4,Negative,Neutral,-0.1779,0.0,Positive
4,Positive,Positive,0.5106,0.296,Positive
2,Positive,Positive,0.8627,0.34,Positive
4,Positive,Negative,0.7351,-0.5719,Positive
4,Positive,Positive,0.9738,0.9279,Positive
4,Positive,Negative,0.908,-0.1027,Positive
3,Positive,Positive,0.8442,0.3553,Positive
5,Neutral,Neutral,0.0,0.0,Neutral
4,Positive,Neutral,0.5719,0.0,Positive
3,Neutral,Positive,0.0,0.4404,Positive
1,Positive,Positive,0.9094,0.9797,Positive
5,Positive,Neutral,0.4927,0.0,Positive
4,Positive,Negative,0.4939,-0.4588,Positive
5,Positive,Neutral,0.4939,0.0,Positive
3,Positive,Neutral,0.7351,0.0,Positive
2,Positive,Negative,0.6705,-0.8934,Negative
1,Positive,Positive,0.875,0.583,Positive
5,Positive,Neutral,0.5719,0.0,Positive
5,Positive,Negative,0.6908,-0.2944,Positive
3,Positive,Negative,0.7076,-0.7264,Negative
4,Positive,Positive,0.8885,0.5046,Positive
1,Positive,Negative,0.9201,-0.5267,Positive
4,Positive,Negative,0.4567,-0.211,Positive
3,Positive,Positive,0.8658,0.2247,Positive
4,Positive,Neutral,0.6249,0.0,Positive
3,Positive,Positive,0.4404,0.4091,Positive
4,Positive,Negative,0.6908,-0.4773,Positive
2,Positive,Negative,0.3818,-0.4898,Negative
5,Positive,Neutral,0.875,0.0,Positive
4,Positive,Neutral,0.6369,0.0,Positive
3,Positive,Neutral,0.6808,0.0,Negative
3,Positive,Positive,0.7717,0.2691,Positive
5,Neutral,Neutral,0.0,0.0,Neutral
4,Positive,Negative,0.8625,-0.6893,Positive
3,Positive,Positive,0.6908,0.2023,Positive
5,Positive,Positive,0.9382,0.7182,Positive
4,Positive,Negative,0.8591,-0.4215,Positive
5,Positive,Neutral,0.6486,0.0,Positive
3,Positive,Positive,0.5719,0.0772,Positive
5,Positive,Negative,0.6249,-0.2812,Positive
3,Positive,Negative,0.4404,-0.1027,Positive
4,Positive,Negative,0.6369,-0.25,Positive
5,Positive,Neutral,0.7003,0.0,Positive
5,Positive,Positive,0.886,0.5709,Positive
5,Positive,Neutral,0.7425,0.0,Positive
5,Neutral,Positive,0.0,0.738,Positive
4,Positive,Positive,0.807,0.4404,Positive
4,Positive,Positive,0.9299,0.2732,Positive
1,Positive,Negative,0.5106,-0.8485,Negative
5,Positive,Negative,0.6901,-0.4927,Positive
1,Positive,Negative,0.7717,-0.7783,Neutral
4,Positive,Neutral,0.8225,0.0,Positive
4,Positive,Negative,0.8555,-0.296,Positive
5,Positive,Neutral,0.6597,0.0,Positive
4,Positive,Negative,0.8481,-0.34,Positive
4,Positive,Neutral,0.765,0.0,Positive
4,Positive,Neutral,0.3818,0.0,Positive
5,Positive,Positive,0.1531,0.4404,Positive
4,Positive,Positive,0.9118,0.0772,Positive
3,Neutral,Positive,0.0,0.0772,Positive
3,Positive,Positive,0.836,0.7684,Positive
5,Positive,Negative,0.7845,-0.1027,Positive
4,Neutral,Negative,0.0,-0.1027,Positive
3,Positive,Negative,0.2263,-0.296,Positive
5,Positive,Negative,0.9168,-0.5106,Positive
4,Positive,Neutral,0.4939,0.0,Positive
4,Positive,Positive,0.9242,0.6834,Positive
5,Positive,Neutral,0.9335,0.0,Positive
5,Neutral,Positive,0.0,0.4019,Positive
4,Positive,Positive,0.2484,0.1513,Positive
4,Positive,Negative,0.4939,-0.3182,Positive
1,Positive,Negative,0.6908,-0.9062,Negative
2,Positive,Neutral,0.8481,0.0,Positive
2,Positive,Neutral,0.2263,0.0,Negative
4,Positive,Positive,0.6705,0.8979,Positive
4,Positive,Positive,0.4927,0.4404,Positive
2,Positive,Positive,0.3239,0.5106,Positive
4,Positive,Neutral,0.6705,0.0,Positive
4,Neutral,Positive,0.0,0.4939,Positive
2,Positive,Negative,0.9468,-0.5493,Positive
4,Positive,Neutral,0.7351,0.0,Positive
1,Positive,Positive,0.9231,0.2023,Positive
3,Positive,Positive,0.7506,0.7116,Positive
4,Neutral,Negative,0.0,-0.3818,Negative
4,Positive,Negative,0.4404,-0.5267,Negative
5,Positive,Negative,0.6249,-0.296,Positive
4,Positive,Negative,0.4404,-0.2382,Neutral
5,Positive,Neutral,0.6249,0.0,Positive
4,Positive,Neutral,0.3597,0.0,Positive
4,Positive,Neutral,0.7003,0.0,Positive
4,Positive,Positive,0.872,0.05,Positive
4,Positive,Neutral,0.9324,0.0,Positive
3,Positive,Negative,0.4404,-0.25,Positive
5,Positive,Negative,0.8519,-0.5795,Positive
4,Positive,Positive,0.6808,0.2682,Positive
3,Positive,Negative,0.5616,-0.4767,Positive
3,Positive,Positive,0.7351,0.3607,Positive
3,Positive,Positive,0.9201,0.4207,Positive
2,Positive,Negative,0.6705,-0.296,Positive
3,Positive,Positive,0.7717,0.4939,Positive
3,Positive,Neutral,0.7906,0.0,Positive
3,Positive,Negative,0.3818,-0.6486,Positive
5,Positive,Positive,0.4215,0.6804,Positive
4,Positive,Positive,0.6249,0.2023,Positive
4,Negative,Positive,-0.5719,0.6526,Positive
5,Positive,Neutral,0.7964,0.0,Positive
4,Positive,Positive,0.8126,0.1326,Positive
2,Negative,Neutral,-0.1027,0.0,Negative
3,Positive,Positive,0.34,0.2057,Positive
3,Positive,Negative,0.7506,-0.5151,Positive
3,Positive,Negative,0.9337,-0.7003,Positive
4,Positive,Neutral,0.9788,0.0,Positive
4,Positive,Negative,0.9764,-0.0516,Positive
4,Positive,Positive,0.9169,0.9169,Positive
5,Positive,Negative,0.9371,-0.296,Positive
4,Positive,Negative,0.6753,-0.1027,Positive
2,Positive,Negative,0.8074,-0.1531,Positive
1,Positive,Negative,0.7351,-0.8979,Negative
4,Neutral,Positive,0.0,0.2212,Positive
1,Positive,Negative,0.4466,-0.6597,Negative
4,Positive,Negative,0.6908,-0.204,Positive
5,Positive,Neutral,0.7184,0.0,Positive
4,Positive,Neutral,0.3848,0.0,Positive
1,Neutral,Negative,0.0,-0.7351,Negative
5,Positive,Negative,0.3595,-0.2263,Positive
2,Positive,Positive,0.34,0.8955,Positive
4,Positive,Positive,0.34,0.5267,Positive
3,Positive,Neutral,0.1779,0.0,Positive
3,Positive,Neutral,0.7269,0.0,Positive
5,Positive,Positive,0.9337,0.4588,Positive
3,Positive,Negative,0.8555,-0.2709,Positive
3,Positive,Negative,0.8074,-0.3195,Positive
4,Positive,Neutral,0.6249,0.0,Positive
5,Positive,Negative,0.9682,-0.296,Positive
5,Positive,Positive,0.6486,0.1779,Positive
4,Positive,Positive,0.6249,0.34,Positive
1,Positive,Negative,0.3818,-0.4588,Positive
3,Positive,Positive,0.6249,0.0772,Positive
3,Positive,Positive,0.4215,0.4404,Positive
5,Positive,Neutral,0.4927,0.0,Positive
4,Positive,Negative,0.7269,-0.25,Positive
2,Positive,Negative,0.4754,-0.714,Negative
5,Positive,Neutral,0.6908,0.0,Positive
5,Positive,Neutral,0.6808,0.0,Positive
5,Positive,Positive,0.91,0.3612,Positive
4,Positive,Positive,0.8779,0.4082,Positive
5,Positive,Neutral,0.836,0.0,Positive
4,Positive,Neutral,0.3818,0.0,Positive
4,Positive,Negative,0.743,-0.1027,Positive
5,Positive,Neutral,0.2732,0.0,Positive
5,Positive,Neutral,0.3818,0.0,Positive
4,Positive,Positive,0.6597,0.6705,Positive
4,Positive,Negative,0.3818,-0.3182,Positive
5,Positive,Positive,0.6249,0.2023,Positive
4,Positive,Neutral,0.7506,0.0,Positive
5,Neutral,Neutral,0.0,0.0,Positive
5,Positive,Neutral,0.8176,0.0,Positive
4,Positive,Neutral,0.7783,0.0,Positive
5,Positive,Negative,0.4404,-0.5875,Positive
3,Positive,Negative,0.6249,-0.3818,Positive
3,Positive,Negative,0.6369,-0.5145,Positive
4,Positive,Negative,0.9729,-0.9167,Positive
5,Neutral,Neutral,0.0,-0.0276,Positive
3,Positive,Negative,0.7906,-0.1027,Positive
5,Positive,Neutral,0.6249,0.0,Positive
4,Positive,Negative,0.836,-0.25,Positive
4,Positive,Neutral,0.7906,0.0,Positive
4,Positive,Negative,0.3818,-0.4023,Positive
3,Neutral,Positive,0.0,0.4404,Positive
4,Neutral,Positive,0.0,0.4927,Positive
4,Positive,Positive,0.8979,0.2263,Positive
2,Neutral,Negative,0.0,-0.5106,Negative
5,Positive,Neutral,0.926,0.0,Positive
4,Positive,Negative,0.9509,-0.296,Positive
5,Positive,Positive,0.5327,0.4854,Positive
5,Positive,Negative,0.7506,-0.3252,Positive
3,Positive,Negative,0.8689,-0.2732,Positive
2,Positive,Negative,0.4215,-0.7208,Negative
5,Positive,Positive,0.4939,0.5023,Positive
4,Positive,Neutral,0.4939,0.0,Positive
4,Positive,Neutral,0.762,0.0,Positive
4,Positive,Negative,0.4404,-0.4767,Positive
3,Positive,Negative,0.431,-0.2023,Positive
4,Positive,Positive,0.6369,0.3818,Positive
4,Positive,Negative,0.9186,-0.6486,Positive
3,Negative,Neutral,-0.3818,0.0,Negative
4,Positive,Neutral,0.8807,0.0,Positive
4,Positive,Positive,0.4927,0.25,Positive
5,Positive,Neutral,0.8481,0.0,Positive
4,Neutral,Neutral,0.0,0.0,Neutral
5,Positive,Positive,0.8402,0.2023,Positive
5,Positive,Neutral,0.4404,0.0,Positive
5,Positive,Neutral,0.2732,0.0,Positive
3,Neutral,Negative,0.0,-0.3612,Negative
1,Positive,Negative,0.4391,-0.7889,Negative
4,Positive,Neutral,0.7003,0.0,Positive
5,Neutral,Neutral,0.0,0.0,Neutral
2,Positive,Neutral,0.91,-0.0,Positive
3,Positive,Neutral,0.2023,0.0,Positive
5,Positive,Neutral,0.9022,0.0,Positive
4,Positive,Negative,0.25,-0.128,Neutral
5,Positive,Positive,0.4404,0.6597,Positive
5,Neutral,Neutral,0.0,0.0,Neutral
5,Positive,Negative,0.7845,-0.296,Positive
4,Positive,Positive,0.8885,0.0772,Positive
5,Positive,Negative,0.9643,-0.4741,Positive
5,Positive,Neutral,0.9022,0.0,Positive
4,Positive,Negative,0.7906,-0.1027,Positive
5,Positive,Positive,0.296,0.7579,Positive
2,Positive,Negative,0.3612,-0.2222,Positive
4,Positive,Neutral,0.7579,0.0,Positive
3,Positive,Negative,0.6249,-0.3612,Positive
