overall_rating,pros_sentiment,cons_sentiment,pros_sentiment_score,cons_sentiment_score,overall_sentiment
2,Neutral,Neutral,0.0,0.0,Negative
4,Negative,Negative,-0.2023,-0.296,Negative
1,Neutral,Negative,0.0,-0.8609,Negative
5,Positive,Negative,0.9726,-0.4215,Positive
5,Positive,Negative,0.7579,-0.2263,Positive
5,Positive,Positive,0.7906,0.3252,Positive
3,Positive,Positive,0.4404,0.128,Neutral
3,Positive,Negative,0.6486,-0.1027,Positive
3,Positive,Negative,0.9349,-0.6386,Positive
4,Neutral,Positive,0.0,0.5824,Positive
1,Neutral,Negative,0.0,-0.802,Negative
1,Negative,Negative,-0.296,-0.6367,Negative
5,Positive,Positive,0.7845,0.4404,Positive
4,Neutral,Positive,0.0,0.3182,Positive
2,Positive,Negative,0.4939,-0.1027,Positive
4,Positive,Negative,0.8316,-0.5423,Positive
3,Positive,Positive,0.4404,0.3818,Positive
4,Positive,Negative,0.5859,-0.1027,Positive
4,Positive,Positive,0.7003,0.4588,Positive
3,Neutral,Negative,-0.0018,-0.3384,Positive
4,Positive,Negative,0.0772,-0.4215,Positive
5,Positive,Positive,0.7906,0.6597,Positive
4,Positive,Neutral,0.7783,0.0,Positive
3,Positive,Negative,0.9501,-0.5216,Positive
2,Neutral,Negative,0.0,-0.7351,Negative
5,Positive,Positive,0.5859,0.3612,Positive
5,Positive,Neutral,0.923,0.015,Positive
5,Positive,Positive,0.6249,0.3818,Positive
3,Positive,Negative,0.9517,-0.0887,Positive
3,Positive,Positive,0.2263,0.7096,Positive
5,Positive,Positive,0.9393,0.7711,Positive
3,Positive,Positive,0.7645,0.4767,Positive
3,Positive,Neutral,0.9246,0.0,Positive
5,Positive,Neutral,0.6249,0.0,Positive
4,Positive,Negative,0.4404,-0.296,Positive
5,Positive,Negative,0.7003,-0.4149,Positive
3,Positive,Neutral,0.7003,0.0,Positive
1,Positive,Neutral,0.1012,0.0,Positive
2,Positive,Negative,0.7964,-0.0772,Positive
5,Positive,Negative,0.8555,-0.4201,Positive
